# VELOCITY:     AVE_POFV:        ERROR:
      2.2128    0.397352   0.0140809
     2.36541    0.385015   0.0183628
     2.51802    0.309133   0.0181647
     2.67062    0.258796   0.0145571
     2.82323    0.213394   0.0149048
     2.97584    0.168788   0.0128164
     3.12844    0.129479  0.00857292
     3.28105     0.13187   0.0116403
     3.43366    0.084776  0.00875349
     3.58626    0.048651  0.00515109
     3.73887   0.0339894  0.00612539
     3.89148   0.0188127  0.00389171
     4.04408  0.00701352  0.00186374
     4.19669  0.00334086  0.00114326
      4.3493 0.000985951  0.00038352
     4.50191 8.53227e-05 8.26133e-05
   0.0763035  0.00413118  0.00172046
     0.22891   0.0263826   0.0046895
    0.381517     0.08061  0.00537295
    0.534124    0.115096  0.00860765
    0.686731    0.192798   0.0116991
    0.839338    0.280855   0.0172229
    0.991945    0.342229   0.0145755
     1.14455     0.39688  0.00966434
     1.29716    0.454685   0.0168683
     1.44977    0.508078   0.0216116
     1.60237    0.501302   0.0201012
     1.75498    0.490414   0.0192094
     1.90759    0.509328   0.0231606
     2.06019    0.459721   0.0215004
      2.2128    0.395055   0.0134388
     2.36541    0.389496   0.0178211
     2.51802    0.307904   0.0171377
     2.67062     0.25652   0.0138776
     2.82323    0.206899    0.015378
     2.97584    0.165878   0.0123884
     3.12844     0.13078  0.00816678
     3.28105    0.131611   0.0109584
     3.43366   0.0863643  0.00838144
     3.58626   0.0476808  0.00493862
     3.73887   0.0365112   0.0062627
     3.89148   0.0195477  0.00373155
     4.04408   0.0112109  0.00443377
     4.19669  0.00357441   0.0010996
      4.3493  0.00113139 0.000387557
     4.50191 0.000107072 8.05657e-05
   0.0763035  0.00452695  0.00166978
     0.22891   0.0308161    0.006179
    0.381517   0.0815101   0.0051493
    0.534124     0.11508  0.00812947
    0.686731    0.192319    0.011059
    0.839338    0.287674   0.0175641
    0.991945    0.343639   0.0138338
     1.14455    0.397122  0.00913046
     1.29716    0.453343   0.0159845
     1.44977    0.501431   0.0214089
     1.60237    0.495684   0.0197539
     1.75498    0.485473   0.0187669
     1.90759     0.50701   0.0219895
     2.06019    0.460453   0.0203184
      2.2128    0.395541    0.012701
     2.36541    0.388811   0.0168442
     2.51802    0.310807   0.0164296
     2.67062    0.254487   0.0132547
     2.82323    0.205767   0.0145654
     2.97584    0.168459    0.011966
     3.12844    0.131266  0.00772752
     3.28105    0.129397   0.0105711
     3.43366   0.0858508  0.00793152
     3.58626   0.0489827  0.00483281
     3.73887   0.0370094  0.00593456
     3.89148   0.0202651  0.00359254
     4.04408   0.0146128  0.00533522
     4.19669  0.00389156  0.00108329
      4.3493  0.00132134 0.000409942
     4.50191 0.000230898 0.000142375
   0.0763035  0.00458886  0.00158305
     0.22891   0.0323557  0.00604253
    0.381517   0.0837617  0.00534794
    0.534124    0.114913  0.00770331
    0.686731    0.189658   0.0107923
    0.839338    0.288043   0.0166436
    0.991945    0.345032   0.0131757
     1.14455    0.400089  0.00911945
     1.29716    0.454669   0.0151981
     1.44977    0.501631    0.020283
     1.60237    0.487491   0.0203425
     1.75498    0.489013     0.01811
     1.90759    0.500183   0.0218663
     2.06019    0.458968   0.0193032
      2.2128    0.393661   0.0121708
