# DISTANCE:     AVE_GOFR:        ERROR:
     1.09011     2.54267  0.00331915
     1.11576     2.40503  0.00611752
     1.14141     2.20568  0.00535836
     1.16706      1.9731  0.00499472
     1.19271     1.75359  0.00497981
     1.21836     1.55427  0.00678909
     1.24401     1.38445  0.00450126
     1.26966     1.24024  0.00339529
     1.29531     1.12493  0.00391208
     1.32096      1.0231  0.00207815
     1.34661    0.940416  0.00325674
     1.37226    0.866993  0.00436044
     1.39791    0.818099  0.00100191
     1.42355    0.774851  0.00339789
      1.4492    0.738138   0.0020145
     1.47485    0.712337  0.00202198
      1.5005    0.689581  0.00311784
     1.52615     0.67803  0.00259594
      1.5518    0.671017  0.00161375
     1.57745    0.672038  0.00232021
      1.6031    0.672651  0.00254632
     1.62875    0.685498  0.00269846
      1.6544    0.702913  0.00314003
     1.68005    0.725775  0.00460437
      1.7057    0.751271  0.00200641
     1.73135     0.78114  0.00329714
       1.757    0.818103  0.00369268
     1.78265    0.852499  0.00283366
      1.8083    0.894789   0.0016244
     1.83395    0.935977  0.00268163
      1.8596    0.977995  0.00159224
     1.88525     1.02209  0.00196933
      1.9109     1.05953  0.00163678
     1.93655     1.09571 0.000957211
      1.9622      1.1343  0.00355948
     1.98785     1.16187  0.00267826
      2.0135     1.18812  0.00225655
     2.03915     1.20395  0.00372993
      2.0648     1.21335  0.00339804
     2.09045     1.21492  0.00184301
      2.1161     1.20769  0.00179687
     2.14174     1.19249  0.00352025
     2.16739     1.17165  0.00346139
     2.19304     1.14856  0.00272546
     2.21869     1.12001  0.00262901
     2.24434     1.09278  0.00304426
     2.26999     1.06467  0.00115293
     2.29564      1.0405  0.00150083
     2.32129     1.01346  0.00255155
     2.34694    0.985029  0.00189924
     2.37259    0.967681  0.00095121
     2.39824    0.945954  0.00208718
     2.42389    0.930244   0.0013005
     2.44954    0.919809 0.000818826
     2.47519     0.90847  0.00169861
     2.50084    0.896239  0.00115445
     2.52649    0.885804   0.0018541
     2.55214    0.885915  0.00207671
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
