# VELOCITY:     AVE_POFV:        ERROR:
     1.24667    0.739639  0.00903028
     1.39333    0.654522  0.00583758
        1.54    0.536174  0.00639792
     1.68667    0.440287  0.00913477
     1.83333    0.329483  0.00818314
        1.98    0.232135  0.00737971
     2.12667    0.153017  0.00359211
     2.27333    0.095903  0.00408388
        2.42    0.057816  0.00199922
     2.56667   0.0350631  0.00202186
     2.71333   0.0206774  0.00158974
        2.86   0.0114012  0.00110068
     3.00667  0.00500858 0.000894321
     3.15333  0.00219557 0.000714492
         3.3 0.000508558 0.000253519
     3.44667 9.82043e-05 9.25879e-05
     3.59333 0.000136785 0.000128962
        3.74 0.000147929 0.000139469
     3.88667 0.000102564 9.66981e-05
     4.03333 1.05219e-05 9.92013e-06
        4.18 1.40292e-05 1.32268e-05
     4.32667 1.75365e-05 1.65335e-05


   0.0733333  0.00995265 0.000831047
        0.22   0.0836963  0.00270408
    0.366667     0.22044  0.00415217
    0.513333    0.388842  0.00368789
        0.66     0.56317  0.00971851
    0.806667    0.678969  0.00735812
    0.953333    0.769983   0.0078709
         1.1    0.781981  0.00918113
     1.24667    0.742374  0.00853118
     1.39333    0.657646  0.00603219
        1.54    0.539286  0.00647105
     1.68667    0.440738  0.00823239
     1.83333    0.328394  0.00743695
        1.98    0.230563  0.00680713
     2.12667    0.151812  0.00342888
     2.27333   0.0955709  0.00368897
        2.42   0.0579561   0.0018042
     2.56667   0.0356635  0.00190674
     2.71333   0.0205067   0.0014399
        2.86   0.0119941  0.00113913
     3.00667  0.00516113 0.000817796
     3.15333  0.00229482 0.000649901
         3.3 0.000517677 0.000228331
     3.44667 0.000170455 0.000107897
     3.59333 0.000236742 0.000149879
        3.74 0.000133136 0.000126304
     3.88667 9.23074e-05 8.75705e-05
     4.03333  9.4697e-06 8.98374e-06
        4.18 1.26263e-05 1.19783e-05
     4.32667 1.57828e-05 1.49729e-05


   0.0733333   0.0101383  0.00077596
        0.22   0.0848485  0.00269254
    0.366667    0.219294  0.00392981
    0.513333    0.385641  0.00453384
        0.66    0.558391  0.00994061
    0.806667    0.676287  0.00716144
    0.953333    0.770962  0.00721591
         1.1    0.783473   0.0084668
     1.24667     0.74614  0.00854679
     1.39333    0.660684  0.00620194
        1.54    0.538518  0.00592816
     1.68667    0.442621  0.00769649
     1.83333    0.328619  0.00676427
        1.98    0.232668  0.00650582
     2.12667    0.151762  0.00311753
     2.27333   0.0944526  0.00351902
        2.42   0.0572529  0.00177193
     2.56667   0.0362781  0.00182977
     2.71333   0.0204073  0.00131243
        2.86   0.0114661  0.00115143
     3.00667   0.0051109 0.000744992
     3.15333   0.0020862 0.000623404
         3.3 0.000470615 0.000212368
     3.44667 0.000154959  9.9195e-05
     3.59333  0.00021522  0.00013779
        3.74 0.000121033   0.0001154
     3.88667 8.39158e-05 8.00106e-05
     4.03333 8.60882e-06 8.20818e-06
        4.18 1.14784e-05 1.09442e-05
     4.32667  1.4348e-05 1.36803e-05


   0.0733333  0.00988005  0.00075305
        0.22   0.0844381  0.00249924
    0.366667    0.220758  0.00386562
    0.513333    0.388369  0.00490834
        0.66    0.559615  0.00918722
    0.806667    0.677077  0.00660806
    0.953333    0.774807  0.00757026
         1.1    0.781728  0.00793904
     1.24667    0.745423   0.0078646
     1.39333    0.658647  0.00601041
        1.54    0.539391    0.005498
     1.68667    0.442971  0.00706303
     1.83333    0.327486  0.00629473
        1.98    0.229906   0.0065236
     2.12667    0.149735  0.00345476
     2.27333   0.0951385  0.00329193
        2.42   0.0574008  0.00163043
     2.56667   0.0358486  0.00172697
     2.71333   0.0198562  0.00131367
        2.86   0.0116023  0.00106349
     3.00667  0.00517426 0.000685598
     3.15333  0.00194129 0.000588056
         3.3 0.000431397 0.000198259
     3.44667 0.000142045 9.17654e-05
     3.59333 0.000197285 0.000127469
        3.74 0.000110947 0.000106224
     3.88667 7.69228e-05  7.3648e-05
     4.03333 7.89141e-06 7.55545e-06
        4.18 1.05219e-05 1.00739e-05
     4.32667 1.31524e-05 1.25924e-05


   0.0733333  0.00992376  0.00069639
        0.22   0.0853584  0.00247061
    0.366667    0.223712  0.00455904
    0.513333    0.391332  0.00535113
        0.66    0.559965   0.0084872
    0.806667    0.676235  0.00615316
    0.953333    0.771386   0.0077223
         1.1    0.778568   0.0079321
     1.24667    0.744889  0.00727775
     1.39333    0.659866  0.00567035
        1.54    0.540452   0.0051765
     1.68667    0.440913  0.00681278
     1.83333    0.326132  0.00595443
        1.98    0.229427  0.00603937
     2.12667    0.152047  0.00388669
     2.27333   0.0957334  0.00309199
        2.42   0.0574045  0.00150502
     2.56667    0.035524  0.00162435
     2.71333   0.0196958  0.00122237
        2.86   0.0117587 0.000993128
     3.00667  0.00491222   0.0006811
     3.15333  0.00187451 0.000546599
         3.3 0.000497766 0.000193799
     3.44667 0.000189394 9.61489e-05
     3.59333  0.00018211 0.000118564
        3.74 0.000102413 9.83948e-05
     3.88667 7.10057e-05 6.82201e-05
     4.03333 7.28438e-06 6.99861e-06
        4.18 9.71251e-06 9.33148e-06
     4.32667 1.21406e-05 1.16643e-05


   0.0733333   0.0100492 0.000657841
        0.22   0.0851303  0.00230464
    0.366667    0.223551  0.00423622
    0.513333    0.390626  0.00501534
        0.66    0.559569  0.00789021
    0.806667    0.676302  0.00571402
    0.953333    0.769735   0.0073452
         1.1    0.777148  0.00749164
     1.24667    0.744864  0.00675796
     1.39333    0.657671  0.00567431
        1.54    0.539795   0.0048483
     1.68667    0.441734  0.00637536
     1.83333    0.327167  0.00561838
        1.98    0.231713  0.00602501
     2.12667     0.15439  0.00425708
     2.27333   0.0967349  0.00302898
        2.42   0.0581135  0.00155555
     2.56667   0.0355434  0.00150844
     2.71333   0.0196373  0.00113646
        2.86   0.0111781  0.00107865
     3.00667   0.0047079 0.000662387
     3.15333  0.00179022 0.000514014
         3.3 0.000500541 0.000179976
     3.44667 0.000175866 9.02278e-05
     3.59333 0.000169102 0.000110806
        3.74 9.50973e-05 9.16381e-05
     3.88667 6.59339e-05 6.35355e-05
     4.03333 6.76407e-06 6.51802e-06
        4.18 9.01876e-06 8.69069e-06
     4.32667 1.12734e-05 1.08634e-05


   0.0733333   0.0100379 0.000614082
        0.22   0.0857513  0.00223308
    0.366667    0.223896  0.00396782
    0.513333    0.390144  0.00470409
        0.66     0.55859  0.00742467
    0.806667     0.67652  0.00533725
    0.953333    0.768573  0.00694683
         1.1    0.776721  0.00700438
     1.24667    0.742672   0.0066532
     1.39333    0.660057  0.00577605
        1.54    0.542491  0.00522129
     1.68667    0.442935  0.00606246
     1.83333    0.326244  0.00531911
        1.98    0.230472   0.0057497
     2.12667    0.153369  0.00409383
     2.27333   0.0971861  0.00286046
        2.42   0.0581955  0.00145401
     2.56667   0.0353897  0.00141568
     2.71333   0.0200285  0.00112601
        2.86    0.010999   0.0010215
     3.00667  0.00496643 0.000666774
     3.15333  0.00191709 0.000495155
         3.3 0.000528199  0.00017009
     3.44667 0.000164141  8.4971e-05
     3.59333 0.000157828 0.000103991
        3.74 8.87575e-05 8.57479e-05
     3.88667 6.15383e-05 5.94516e-05
     4.03333 6.31313e-06 6.09906e-06
        4.18 8.41751e-06 8.13209e-06
     4.32667 1.05219e-05 1.01651e-05


   0.0733333   0.0102963 0.000627735
        0.22   0.0857422  0.00209353
    0.366667    0.224514  0.00376756
    0.513333    0.390266  0.00441168
        0.66    0.556088   0.0073701
    0.806667    0.676404  0.00500495
    0.953333    0.768767  0.00651538
         1.1      0.7776  0.00662151
     1.24667    0.743237  0.00626128
     1.39333    0.659496  0.00544228
        1.54    0.543736  0.00504112
     1.68667     0.44324  0.00569125
     1.83333    0.326697  0.00500592
        1.98    0.230122  0.00540098
     2.12667    0.153536  0.00384134
     2.27333   0.0976047  0.00271213
        2.42    0.058571   0.0014108
     2.56667    0.034695  0.00148793
     2.71333   0.0193745    0.001231
        2.86   0.0106371  0.00101976
     3.00667  0.00480004 0.000645527
     3.15333  0.00179727 0.000478485
         3.3 0.000495186 0.000162631
     3.44667 0.000153883 8.02772e-05
     3.59333 0.000147964 9.79584e-05
        3.74 8.32102e-05 8.05679e-05
     3.88667 5.76921e-05 5.58602e-05
     4.03333 5.91856e-06 5.73062e-06
        4.18 7.89141e-06 7.64083e-06
     4.32667 9.86427e-06 9.55104e-06


   0.0733333   0.0102031 0.000597686
        0.22   0.0857379  0.00197039
    0.366667    0.226113   0.0038706
    0.513333     0.39106  0.00422293
        0.66    0.553929  0.00724597
    0.806667    0.676169  0.00471605
    0.953333    0.769221  0.00614791
         1.1    0.777822  0.00623574
     1.24667    0.741197  0.00621647
     1.39333    0.657472  0.00548547
        1.54    0.545675    0.005104
     1.68667    0.444828  0.00557357
     1.83333    0.325548   0.0048415
        1.98    0.229713  0.00509874
     2.12667    0.154501  0.00373475
     2.27333   0.0979572  0.00257541
        2.42   0.0590472  0.00140589
     2.56667   0.0343921  0.00143091
     2.71333   0.0190815  0.00119294
        2.86   0.0107114 0.000962475
     3.00667  0.00489648 0.000614715
     3.15333  0.00182709 0.000451267
         3.3 0.000508764  0.00015363
     3.44667 0.000219103 9.85496e-05
     3.59333 0.000196821 0.000103666
        3.74 7.83155e-05 7.59771e-05
     3.88667 5.42985e-05 5.26773e-05
     4.03333 5.57041e-06 5.40409e-06
        4.18 7.42721e-06 7.20546e-06
     4.32667 9.28402e-06 9.00682e-06


   0.0733333   0.0103658 0.000586202
        0.22   0.0859252  0.00186981
    0.366667    0.226379   0.0036647
    0.513333    0.392137  0.00412341
        0.66    0.555866  0.00709758
    0.806667    0.678259  0.00489542
    0.953333    0.770691  0.00597945
         1.1    0.777504  0.00589742
     1.24667    0.741961  0.00591792
     1.39333    0.656403   0.0052839
        1.54    0.540797  0.00676132
     1.68667    0.441694  0.00608157
     1.83333    0.322775  0.00530765
        1.98    0.229425  0.00482361
     2.12667     0.15527  0.00360553
     2.27333    0.099179  0.00270667
        2.42    0.059567  0.00142061
     2.56667   0.0352066  0.00156616
     2.71333    0.019605  0.00123619
        2.86   0.0110808 0.000977335
     3.00667   0.0051786  0.00064205
     3.15333  0.00189394 0.000431119
         3.3 0.000480499 0.000147672
     3.44667  0.00020693 9.38233e-05
     3.59333 0.000185887 9.84822e-05
        3.74 7.39646e-05 7.18807e-05
     3.88667 5.12819e-05  4.9837e-05
     4.03333 5.26094e-06 5.11272e-06
        4.18 7.01459e-06 6.81696e-06
     4.32667 8.76824e-06  8.5212e-06


   0.0733333   0.0104482 0.000561114
        0.22   0.0861958  0.00179087
    0.366667    0.225966  0.00349503
    0.513333    0.390439  0.00424152
        0.66    0.555353  0.00674254
    0.806667    0.678694  0.00465704
    0.953333    0.769761  0.00573653
         1.1    0.777982  0.00560636
     1.24667    0.742408  0.00562326
     1.39333    0.656601  0.00500951
        1.54     0.54198  0.00650827
     1.68667    0.443514   0.0060275
     1.83333    0.322025  0.00508103
        1.98    0.229533  0.00457094
     2.12667    0.155363  0.00341697
     2.27333   0.0990063  0.00256972
        2.42    0.059306  0.00136961
     2.56667     0.03499  0.00149863
     2.71333   0.0194786  0.00117757
        2.86   0.0110143 0.000928158
     3.00667   0.0052649 0.000614029
     3.15333  0.00189394 0.000408429
         3.3  0.00045521 0.000142049
     3.44667 0.000196039 8.95152e-05
     3.59333 0.000176103 9.37837e-05
        3.74 7.00717e-05 6.82028e-05
     3.88667 4.85829e-05 4.72871e-05
     4.03333 4.98405e-06 4.85112e-06
        4.18  6.6454e-06 6.46816e-06
     4.32667 8.30675e-06  8.0852e-06


   0.0733333   0.0106408 0.000565131
        0.22   0.0862042  0.00170135
    0.366667    0.224609  0.00357391
    0.513333    0.389986  0.00405358
        0.66    0.554948  0.00641756
    0.806667    0.678741  0.00442443
    0.953333    0.768653  0.00555568
         1.1    0.779603  0.00555566
     1.24667     0.74369  0.00548637
     1.39333     0.65683  0.00476425
        1.54    0.543081  0.00627516
     1.68667    0.443581  0.00572649
     1.83333     0.32134  0.00487288
        1.98    0.228473   0.0044636
     2.12667    0.154891  0.00327852
     2.27333   0.0994237  0.00247491
        2.42   0.0591185   0.0013139
     2.56667   0.0353633  0.00146945
     2.71333   0.0193001  0.00113214
        2.86   0.0110049 0.000881797
     3.00667  0.00526523 0.000583328
     3.15333  0.00199968 0.000401463
         3.3 0.000503472  0.00014291
     3.44667 0.000328283  0.00015442
     3.59333 0.000446654 0.000278345
        3.74 9.18207e-05 6.81722e-05
     3.88667 4.61537e-05 4.49851e-05
     4.03333 4.73485e-06 4.61496e-06
        4.18 6.31313e-06 6.15328e-06
     4.32667 7.89141e-06  7.6916e-06


